City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Pathein,MM,79.3,clear sky,16.7833,94.7333,New Pammawaddy Hotel
451,Mgandu,TZ,66.99,light rain,-5.95,34.1333,
452,Arinos,BR,79.2,overcast clouds,-15.9169,-46.1056,casa do bruno
453,Gat,IL,69.01,clear sky,31.61,34.7642,OlusHome
454,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
460,Vangaindrano,MG,75.07,overcast clouds,-23.35,47.6,Hotel Fanilo
463,Kanlagay,PH,81.43,scattered clouds,5.8757,121.2915,
464,Singkawang,ID,76.86,few clouds,0.9,109.0,Capital O 1822 Wahana Inn
466,Ewa Beach,US,66.2,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
467,Sao Joao Da Ponte,BR,81.75,overcast clouds,-15.9292,-44.0078,Hotel da Cidade
468,Santa Vitoria Do Palmar,BR,74.91,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
469,Dingle,PH,76.35,light rain,10.9995,122.6711,SEGAYA PROPERTY
472,Kawalu,ID,73.83,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
475,Akdepe,TM,80.6,clear sky,42.0551,59.3788,Мой дом
476,Shaowu,CN,60.12,overcast clouds,27.3409,117.4831,Yijie Express Hotel
478,Jam Sahib,PK,93.2,haze,26.2958,68.6292,Al Madina
479,San Ignacio,BZ,84.0,clear sky,17.1561,-89.0714,Rainforest Haven Inn
480,Baijiantan,CN,61.97,overcast clouds,45.6333,85.1833,
482,Mazatlan,MX,77.0,broken clouds,23.2167,-106.4167,Hotel Club Playamar
484,Tabou,CI,84.18,light rain,4.423,-7.3528,hotêl doufoulougou
487,Beloha,MG,77.32,overcast clouds,-25.1667,45.05,
488,Mahajanga,MG,87.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
490,Jacareacanga,BR,87.8,few clouds,-6.2222,-57.7528,Casa do Ian😎
492,Zwedru,LR,90.25,overcast clouds,6.0667,-8.1281,Elijah Worjloh
493,Letlhakeng,BW,84.69,clear sky,-24.0944,25.0298,fenugreek
494,Auki,SB,76.59,overcast clouds,-8.7676,160.7034,Auki Motel
498,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
500,Najran,SA,93.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
502,Pemangkat,ID,79.0,clear sky,1.1667,108.9667,Kost H.Syamsuddin
505,Ranong,TH,79.14,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
506,Sakakah,SA,89.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
508,Axim,GH,85.95,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
510,Les Cayes,HT,81.19,overcast clouds,18.2,-73.75,Villa Orphee
511,Tura,IN,72.82,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
513,Koraput,IN,75.96,overcast clouds,18.8167,82.7167,Raj Residency
514,Beni Suef,EG,77.4,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
520,Ray,IN,66.2,overcast clouds,23.6833,85.05,Bablu Cake Corner
522,Miri,MY,80.6,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
523,Teahupoo,PF,77.0,light rain,-17.8333,-149.2667,Vanira Lodge
524,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
525,Itaituba,BR,86.0,scattered clouds,-4.2761,-55.9836,Hotel Campos
526,Necochea,AR,71.01,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
528,Urumqi,CN,60.8,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
530,Cockburn Town,TC,75.47,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
532,Marovoay,MG,87.8,few clouds,-16.1,46.6333,
533,Guanajuato,MX,69.8,clear sky,21.0186,-101.2591,Hotel Posada Santa Fe
536,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
538,Simplicio Mendes,BR,94.41,overcast clouds,-7.8539,-41.9103,Fidalgo
540,Quatre Cocos,MU,78.01,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
541,Dungarpur,IN,89.82,clear sky,23.8333,73.7167,Gayatri Hotel
544,Port Lincoln,AU,61.84,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
546,Kpandu,GH,91.99,overcast clouds,6.9954,0.2931,Emo House
547,Kralendijk,BQ,84.2,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
548,Cururupu,BR,82.94,broken clouds,-1.8283,-44.8683,Pousada Través'cia
551,Bocana,PH,80.65,light rain,10.0116,122.7217,Ping-ping store
552,Mtambile,TZ,81.39,few clouds,-5.3833,39.7,
553,Catuday,PH,78.49,few clouds,16.2923,119.8062,GResort
554,Makanya,TZ,78.03,light rain,-4.3667,37.8333,
555,Ashtian,IR,61.61,overcast clouds,34.5217,50.0019,بنیاد مسکن شهرستان آشتیان
557,Garowe,SO,86.23,clear sky,8.4054,48.4845,Curubo Hotel
561,Coffs Harbour,AU,69.8,clear sky,-30.3,153.1333,Aquajet Motel
564,Acoyapa,NI,82.4,scattered clouds,11.9703,-85.1711,Hotel Los Robles
565,Dunmore Town,BS,72.81,clear sky,25.5,-76.65,Coral Sands Hotel
566,Sao Jose Da Coroa Grande,BR,84.06,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
567,Gerash,IR,89.6,clear sky,27.6652,54.1371,Sa'adat House
569,Corrales,US,60.01,clear sky,35.2378,-106.6067,Quality Inn
574,Ferme-Neuve,CA,62.6,clear sky,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
575,San Cristobal,VE,84.2,broken clouds,7.7669,-72.225,Posada Villaven C.A.
576,Santa Cruz,BO,82.4,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
577,Saint-Paul,RE,80.01,light rain,-21.0096,55.2707,Boucan Canot
580,Jaru,BR,76.33,overcast clouds,-10.4389,-62.4664,Hotel Paraná
586,Lorengau,PG,79.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
587,Yokadouma,CM,84.83,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
588,Narok,KE,63.48,light rain,-1.0783,35.8601,OLORROPIL TOWERS
590,Coquimbo,CL,64.4,clear sky,-29.9533,-71.3436,Punto de encuentro
592,Yangjiang,CN,68.65,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
594,Porto Santo,PT,68.0,few clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
595,Biri,PH,80.08,overcast clouds,12.6833,124.3636,Exequiel and Wyn Lodging House
597,Qui Nhon,VN,77.43,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
599,Barcelos,PT,66.0,scattered clouds,41.5388,-8.6151,Hotel Do Terço
600,Mantena,BR,81.21,few clouds,-18.7817,-40.9803,Hotel Estrela De Minas
602,Pizarro,CO,75.42,moderate rain,4.9533,-77.366,Hotel Limonar
606,Mount Isa,AU,77.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
